,1.28 Trial 1,1.28 Trial 2,1.28 Trial 3,1.28-Triton Trial 1,1.28-Triton Trial 2,1.28-Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1,356.066,352.922,360.357,201.187,221.009,210.484
2,353.864,351.720333,358.701,197.163333,218.931333,207.328666
3,352.042666,350.551666,357.224,193.021666,217.052333,204.014666
4,350.283999,349.242,355.848,189.077666,215.120333,200.641
5,348.770666,348.052666,354.845666,185.42,213.348,197.467333
6,347.134666,346.822333,353.429666,181.968333,211.303,194.611333
7,345.603333,345.779333,351.937,178.356333,209.379666,191.928666
8,344.002666,344.479333,350.274,174.994,207.709666,189.221666
9,342.369,343.373666,348.731,171.592333,206.147666,186.692333
10,340.820333,342.109,346.946333,168.263,204.313333,184.222333
11,339.353666,341.014333,345.292666,164.994333,202.326,181.755666
12,337.700333,339.923666,343.910333,161.841666,200.342,179.092666
13,335.959666,338.987666,342.879333,158.792666,198.474,176.546666
14,334.176333,338.036333,342.024,155.770333,196.489333,174.322333
15,332.672666,337.033666,340.991,152.782333,194.546,172.136
16,331.394333,336.167,339.717333,149.76,192.711333,169.775333
17,330.144,335.333666,338.284666,146.824333,190.949666,167.309
18,328.773333,334.441666,336.916333,144.041,189.242,164.989
19,327.323333,333.624,335.714,141.294666,187.598333,162.802333
20,325.976333,332.975,334.518,138.618,186.028333,160.543333
21,324.717333,332.482666,333.388333,136.002666,184.362666,158.270333
22,323.694333,332.002333,332.408,133.383666,182.607666,155.980666
23,322.794,331.640333,331.468666,130.789,180.903,153.856
24,321.838999,331.434333,330.568,128.209333,179.423666,151.758666
25,320.602,331.257,329.625666,125.772666,177.838,149.760333
26,319.251333,331.089333,328.496666,123.405,176.425333,147.805
27,318.1,331.068,327.53,121.118,174.828666,145.755
28,317.126333,331.195333,326.495333,118.801333,173.425666,143.78
29,316.166333,331.221666,325.460666,116.570666,171.935666,141.867
30,315.085,330.846666,324.246333,114.312666,170.427333,139.923666
31,313.825,330.212,323.150666,112.137333,168.873333,138.086333
32,312.613333,329.477333,322.508333,110.056333,167.347333,136.1
33,311.513333,328.908333,321.769333,107.917,165.853666,134.406333
34,310.558333,328.489,320.991333,105.887666,164.562,132.595333
35,309.786333,328.487666,320.097,103.870666,163.121666,130.866666
36,308.839,328.205666,319.125,102.135,161.809666,129.109
37,308.002333,327.652333,318.000333,100.340666,160.299,127.473666
38,306.982666,326.83,316.738,98.476333,158.855333,125.944666
39,306.217,326.156,315.926333,96.447666,157.255,124.262
40,305.260666,325.452666,315.291333,94.538999,155.911,122.56
41,304.404333,324.502,314.540666,92.811333,154.583,120.795
42,303.591,323.498333,313.498,91.229999,153.395666,119.11
43,302.938,322.719333,312.649333,89.681666,152.085,117.461666
44,302.145,321.95,312.073666,87.929999,150.845,115.87
45,301.219666,321.196666,311.478333,86.096333,149.6,114.359
46,300.360666,320.499,310.715,84.359333,148.344,112.826
47,299.657,320.038333,309.992,82.863666,147.031,111.340666
48,299.027,319.556666,309.442666,81.474333,145.716,109.874666
49,298.393666,318.726333,308.903,80.057333,144.488,108.425
50,297.709333,317.748333,308.112333,78.633,143.284666,107.051333
51,296.904,316.896333,307.103666,77.215666,142.026666,105.708333
52,296.045,316.137,306.222,75.891666,140.679,104.380333
53,295.312666,315.286333,305.555,74.528333,139.386333,102.999666
54,294.719,314.464333,305.038,73.067666,138.342,101.757333
55,293.984,313.8,304.382666,71.673666,137.296,100.467
56,293.229333,313.165333,303.74,70.280999,136.211333,99.097666
57,292.651666,312.513333,303.169666,69.155666,134.923333,97.746
58,292.115333,311.696666,302.504666,67.904999,133.66,96.557333
59,291.830666,310.938666,301.645,66.723999,132.442333,95.418333
60,291.392333,310.331,300.643999,65.527999,131.21,94.298666
61,290.907,309.832333,300.004666,64.377666,130.003333,93.062666
62,290.064333,309.313333,299.636999,63.176666,128.948666,91.831333
63,289.180333,308.740666,299.337333,61.932333,127.99,90.561333
64,288.639666,307.942,298.697666,60.696666,126.931666,89.229999
65,288.072,307.332333,298.051333,59.587333,125.736666,88.047
66,287.626,306.828666,297.477333,58.560333,124.673666,86.671333
67,286.918,306.652666,296.846,57.577333,123.647,85.640666
68,286.383666,306.214,296.290333,56.605,122.539,84.569666
69,285.722333,305.573,295.679333,55.597666,121.373666,83.723999
70,285.348333,304.835,295.116666,54.693333,120.348666,82.670999
71,284.947333,304.174666,294.401333,53.731666,119.427333,81.649666
72,284.393666,303.452666,293.820333,52.771666,118.506666,80.575333
73,283.690333,302.861666,293.247,51.812666,117.593666,79.569666
74,282.999,302.338,292.724333,50.888333,116.626666,78.571333
75,282.454333,301.798333,292.264666,49.98,115.599,77.583333
76,281.893333,301.198333,291.775666,49.081,114.586,76.562
77,281.357,300.588,291.079666,48.249,113.634333,75.587333
78,281.060333,300.087666,290.368333,47.473666,112.685,74.619333
79,280.850333,299.602,289.888333,46.694333,111.737666,73.619999
80,280.440333,299.014,289.48,45.899333,110.752666,72.626
81,279.796666,298.395666,288.946,45.124,109.770666,71.709333
82,279.058,297.874,288.401333,44.381333,108.865,70.906333
83,278.478333,297.556,288.049666,43.673333,107.947,70.134666
84,278.242333,297.232333,287.880333,42.965666,107.117,69.401666
85,278.187,296.615,287.642,42.210333,106.224333,68.613666
86,278.028666,296.058,287.123,41.504333,105.508,67.709999
87,277.599333,295.416333,286.500333,40.806,104.661,66.853999
88,277.095,294.602333,285.823666,40.207,103.821666,65.993666
89,276.851,293.779,285.536333,39.461,102.878,65.235666
90,276.426666,293.331666,285.140333,38.701666,102.176333,64.353333
91,276.018666,292.750666,284.800666,37.979666,101.373333,63.569666
92,275.356,292.327,284.342333,37.495333,100.52,62.636999
93,275.113333,291.555333,284.056333,37.006,99.611666,61.965999
94,274.735666,291.55,283.494,36.454666,98.767666,61.159
95,274.482666,291.144666,283.130666,35.801666,97.958999,60.589333
96,273.645,290.655666,282.703666,35.140333,97.128,59.820333
97,273.166666,290.129,282.484333,34.596333,96.452,59.15
98,272.911333,289.898333,281.98,34.071,95.703,58.452333
99,273.030666,289.688666,281.532666,33.591333,94.966666,57.739999
100,272.707,289.323333,281.281333,32.985666,94.134999,57.108666
101,272.337,288.734333,280.991333,32.512666,93.350666,56.489
102,271.866666,288.333,280.434333,32.047333,92.580666,55.890333
103,271.490333,287.830666,279.793666,31.64,91.874666,55.225
104,271.078666,287.449333,279.198,31.135666,91.097333,54.502
105,270.775,287.118,278.861,30.641333,90.313999,53.848333
106,270.477666,286.971,278.541333,30.111,89.542,53.261
107,270.100333,286.836666,278.194,29.619333,88.941999,52.702333
108,269.756999,286.465333,277.761666,29.211333,88.281999,52.14
109,269.404,285.866333,277.307,28.846333,87.569333,51.611999
110,269.023666,285.336666,276.881333,28.417333,86.807666,51.125666
111,268.714666,285.007,276.515666,27.933,86.006,50.625666
112,268.467,284.725333,276.260666,27.493666,85.289999,50.113666
113,268.136333,284.385,275.998666,27.097666,84.682333,49.618666
114,267.702333,284.014,275.583666,26.714,84.200999,49.120333
115,267.446666,283.740333,275.110666,26.34,83.633666,48.651
116,267.409666,283.422,274.784666,25.994333,82.911666,48.259333
117,267.280333,283.017666,274.535666,25.676666,82.186333,47.880666
118,266.829333,282.677666,274.335333,25.324333,81.479666,47.421
119,266.311333,282.177333,273.972333,24.983,80.926666,46.893666
120,265.860666,281.855999,273.619333,24.616666,80.447666,46.410333
121,265.572,281.295666,273.224,24.231,79.973333,45.997333
122,265.281,281.184666,272.665666,23.861666,79.307666,45.653
123,265.167,280.810666,272.310666,23.502666,78.643,45.217
124,264.914666,280.703,271.946999,23.196666,77.863,44.830666
125,264.671,280.321666,271.849333,22.914,77.313666,44.344333
126,264.508,279.883666,271.455,22.623,76.648666,44.020333
127,264.239333,279.418333,271.064666,22.336666,76.176999,43.692666
128,264.028666,279.064,270.627666,22.019,75.611999,43.447999
129,263.914333,278.978,270.432333,21.674,75.002333,43.093999
130,263.905999,278.624666,270.208666,21.341333,74.415666,42.657999
131,263.922,278.198,269.901666,21.055,73.795333,42.212666
132,263.441,277.727666,269.538333,20.839666,73.275333,41.917666
133,262.881666,277.535,269.231333,20.612333,72.649333,41.655666
134,262.468,277.162666,269.079,20.337,72.089999,41.419
135,262.248333,276.775333,268.946333,20.080666,71.482,41.025
136,262.28,276.325333,268.612333,19.843333,70.966666,40.712666
137,261.982666,276.050333,268.268666,19.603,70.494,40.393333
138,261.664666,275.715333,267.962333,19.328,70.041666,40.114
139,261.263666,275.414666,267.768333,19.032666,69.551333,39.836666
140,261.025333,275.2,267.524666,18.774,68.991999,39.584
141,260.960666,274.969333,267.249666,18.551333,68.446,39.356333
142,260.877,274.666666,267.024333,18.355333,67.945,39.094333
143,260.699666,274.336333,266.766,18.178,67.456666,38.809333
144,260.428666,274.069333,266.482666,17.997666,66.986999,38.569999
145,260.329666,273.804666,266.274333,17.821666,66.481333,38.401666
146,260.135666,273.489666,266.137666,17.602333,65.909666,38.217
147,259.899,273.217,265.759,17.371666,65.345999,38.009666
148,259.522666,272.913666,265.423,17.167333,64.759666,37.761666
149,259.262666,272.732666,265.026,16.951666,64.258666,37.568
150,258.929,272.596333,264.860666,16.752666,63.781666,37.372
151,258.816666,272.447333,264.797333,16.545666,63.315666,37.155666
152,258.530999,272.125,264.717333,16.369333,62.887333,36.832666
153,258.352333,271.680666,264.491333,16.215,62.38,36.652666
154,258.110333,271.301,264.237333,16.012666,61.939666,36.445
155,258.274333,270.816666,263.965,15.815,61.438,36.361333
156,258.252333,270.762,263.978,15.648333,61.101333,36.200999
157,258.071,270.598,263.534666,15.54,60.688999,36.044333
158,257.417333,270.497,263.289666,15.458,60.331,35.834
159,257.117,269.851666,262.956666,15.343,59.796666,35.577
160,257.014333,269.692333,262.966333,15.240333,59.379666,35.355666
161,257.141333,269.521333,262.822,15.148666,58.943333,35.151666
162,256.851666,269.479333,262.43,15.051666,58.551,34.947666
163,256.538333,268.958,262.067666,14.93,58.065,34.811666
164,256.171,268.640333,261.858666,14.762,57.637333,34.703666
165,256.086333,268.463333,261.746,14.604333,57.254666,34.544333
166,255.905,268.423666,261.552666,14.450333,56.845,34.298
167,255.895,268.336333,261.480666,14.332666,56.460666,34.043333
168,255.921,267.934333,261.383666,14.207666,56.071,33.843999
169,255.988,267.444333,261.211333,14.065666,55.697666,33.665666
170,255.901666,267.075333,260.876333,13.916,55.272,33.483
171,255.694333,267.020666,260.651,13.775,54.835333,33.327666
172,255.449666,267.045,260.5,13.655,54.452333,33.188999
173,255.209333,266.898,260.276666,13.548,54.091333,33.024666
174,255.068333,266.622,259.967,13.433666,53.72,32.848666
175,254.963666,266.305,259.611333,13.301,53.322,32.685
176,254.718666,266.107666,259.473,13.165333,52.895666,32.547
177,254.377,266.008,259.487666,13.039333,52.482,32.434333
178,254.256333,265.909333,259.564999,12.918,52.065,32.258
179,254.21,265.640333,259.291666,12.795,51.711666,32.084999
180,254.317,265.498666,258.961,12.680333,51.367999,31.866666
181,254.161,265.374666,258.526333,12.625333,51.079333,31.678333
182,254.169333,265.206333,258.277666,12.583333,50.748333,31.495
183,253.866,264.85,257.995666,12.517333,50.461,31.326666
184,253.636666,264.514333,257.905666,12.423,50.109,31.223666
185,253.401,264.468333,257.816666,12.274666,49.705,31.151
186,253.189666,264.261333,257.541666,12.172666,49.322333,31.039666
187,253.065333,264.240666,257.478666,12.075,48.950666,30.878666
188,252.694666,263.930666,257.064999,11.994333,48.726333,30.632666
189,252.473,263.919,257.143666,11.881333,48.371333,30.474
190,252.288333,263.527666,256.782333,11.779666,48.061666,30.309
191,252.375333,263.223666,256.803333,11.700333,47.711,30.142
192,252.466,262.928666,256.382,11.605333,47.401666,29.966
193,252.378,262.846333,256.111,11.508,47.027666,29.856666
194,252.246333,262.738,255.635333,11.449666,46.614999,29.785666
195,252.081,262.504,255.357333,11.365333,46.29,29.676666
196,251.921666,262.310666,255.248333,11.265666,46.025,29.491666
197,251.621333,262.230333,255.444,11.140333,45.710333,29.323333
198,251.342,262.131,255.575,11.076666,45.338666,29.148333
199,251.130333,261.918,255.281333,11.013666,44.993333,29.017666
200,251.143,261.579,254.725333,10.969,44.722666,28.874
201,251.25,261.473666,254.325333,10.924333,44.474333,28.743666
202,251.186666,261.473333,254.224,10.855,44.213333,28.61
203,250.950333,261.406333,254.212666,10.749,43.932,28.455333
204,250.750333,261.205,254.049333,10.652,43.647,28.278666
205,250.691666,260.823333,253.849,10.616,43.386333,28.113333
206,250.692666,260.548666,253.792666,10.600333,43.130666,27.992
207,250.62,260.457666,253.770666,10.555666,42.846333,27.864666
208,250.376333,260.286333,253.758666,10.463,42.530666,27.739666
209,250.038,260.069666,253.534666,10.332666,42.205666,27.611
210,249.804,259.713666,253.366666,10.237,41.883333,27.531666
211,249.840666,259.710333,253.038,10.165333,41.579,27.418
212,249.829,259.559333,252.863666,10.138666,41.374,27.301333
213,249.558666,259.318666,252.717,10.088,41.091333,27.173
214,249.238666,259.035666,252.697333,10.007,40.871666,27.056666
215,248.969666,259.014666,252.575666,9.960333,40.511333,26.95
216,248.936333,258.981666,252.380333,9.929333,40.222666,26.821666
217,248.830333,258.871666,252.405666,9.935999,39.957666,26.678333
218,248.787666,258.706666,252.071333,9.901666,39.647,26.578666
219,248.88,258.329333,251.879666,9.877666,39.412666,26.488
220,248.888666,257.98,251.551,9.855,39.064666,26.37
221,248.732,257.609,251.615666,9.819666,38.848333,26.211666
222,248.488333,257.439333,251.385666,9.791,38.59,26.102
223,248.401666,257.158666,251.11,9.755666,38.427333,25.992
224,248.402333,256.965666,250.932333,9.755999,38.270666,25.873
225,248.172666,256.933,250.887333,9.732333,38.123333,25.703666
226,247.957,256.936,250.944666,9.701333,37.908333,25.566333
227,247.734666,256.831666,250.886333,9.640666,37.647333,25.405666
228,247.658,256.653666,250.868,9.583333,37.450333,25.242333
229,247.614333,256.528666,250.659333,9.558,37.217333,25.112
230,247.608666,256.464666,250.412333,9.552,36.963666,25.029
231,247.491666,256.291333,250.144666,9.542999,36.676333,24.933666
232,247.283333,256.126333,249.91,9.501999,36.419333,24.804666
233,247.211,255.934333,249.73,9.456333,36.172,24.677
234,247.209333,255.78,249.572,9.428999,35.921333,24.59
235,247.158333,255.662,249.458333,9.407333,35.666333,24.509
236,247.062,255.517333,249.299333,9.374,35.430666,24.386
237,246.906,255.444,249.077666,9.318,35.243333,24.264333
238,246.787,255.345,248.96,9.242999,35.055666,24.170666
239,246.671,255.232666,248.863333,9.176666,34.914333,24.066666
240,246.488,255.065333,248.814,9.132666,34.678999,23.965666
241,246.415666,254.878666,248.614333,9.103333,34.452333,23.847333
242,246.291666,254.536333,248.687333,9.061333,34.209,23.743666
243,246.157,254.247,248.728333,9.016666,34.003333,23.621
244,245.874333,254.079666,248.604666,8.959333,33.827333,23.487333
245,245.674333,254.129333,248.223,8.865666,33.653,23.406666
246,245.739333,254.182666,247.989333,8.832666,33.392,23.194666
247,245.577666,253.941,247.858666,8.802999,33.104,22.917
248,245.423,253.637,247.725333,8.832,32.818666,22.608666
249,245.334333,253.368,247.462333,8.785,32.630333,22.410666
250,245.419,253.318666,247.597333,8.763,32.502333,22.289
251,245.470666,253.316666,247.648666,8.749666,32.383333,22.195
252,245.314666,253.141,247.529,8.735999,32.238666,22.14
253,245.251,252.829,247.206333,8.704666,32.017,22.070333
254,245.094666,252.755333,246.968666,8.663333,31.751666,21.934333
255,244.947666,252.458333,246.931333,8.624,31.554,21.813
256,244.862666,252.459666,246.839666,8.592,31.432333,21.739
257,244.782,252.178666,246.767666,8.551,31.329666,21.714666
258,244.616666,252.071,246.634333,8.519,31.121666,21.643333
259,244.405,251.861,246.56,8.514333,30.915,21.531
260,244.353333,251.795333,246.503666,8.527666,30.648333,21.441
261,244.333333,251.802333,246.436333,8.533666,30.445,21.339
262,244.280666,251.751666,246.211,8.510333,30.203,21.256666
263,244.154333,251.643333,246.025666,8.476666,30.003,21.147666
264,244.064,251.538333,245.982,8.455333,29.815,21.054
265,244.019333,251.374,245.934333,8.446666,29.649333,20.987
266,243.985666,251.232,245.782666,8.431999,29.548,20.952333
267,243.975333,251.107333,245.601,8.412999,29.423,20.937333
268,243.987333,250.822333,245.449333,8.392999,29.235,20.865
269,244.020333,250.560333,245.218666,8.369666,29.033666,20.762
270,243.932333,250.466,244.957666,8.369666,28.887333,20.665666
271,243.700333,250.544666,244.849,8.360999,28.771666,20.584666
272,243.483666,250.556333,244.73,8.361333,28.578333,20.471333
273,243.376,250.288333,244.665,8.324,28.308,20.350666
274,243.343666,250.017666,244.533666,8.302333,28.08,20.241
275,243.144333,249.944,244.527666,8.293666,27.907,20.183
276,242.921666,249.940333,244.297,8.305,27.73,20.082
277,242.638,249.972666,244.140333,8.298,27.553333,19.981333
278,242.614666,249.715,243.861333,8.289,27.384,19.858
279,242.617333,249.755666,243.721666,8.255666,27.284333,19.796333
280,242.568666,249.662333,243.501,8.240666,27.156666,19.679
281,242.573,249.610333,243.634,8.235333,27.087666,19.607333
282,242.573666,249.170666,243.722333,8.249333,26.946333,19.523
283,242.644,249.018666,243.832666,8.244666,26.798333,19.467333
284,242.492666,248.861666,243.632,8.206,26.620333,19.339333
285,242.475,248.918333,243.439,8.170666,26.468333,19.220333
286,242.420666,248.778,243.140666,8.148666,26.336,19.119666
287,242.303,248.515333,242.882333,8.124333,26.171333,19.071
288,242.169333,248.136333,242.992333,8.087333,26.021,18.984333
289,242.031,247.755333,242.977666,8.059999,25.883,18.886333
290,241.922333,247.645,242.946,8.046333,25.754333,18.779333
291,241.620666,247.614333,242.683,8.046333,25.645,18.715666
292,241.395,247.598333,242.655333,8.033999,25.521666,18.640666
293,241.338333,247.516,242.62,8.006666,25.38,18.548666
294,241.435666,247.443666,242.429,7.980666,25.251,18.476333
295,241.484333,247.407333,242.176333,7.976999,25.119,18.443333
296,241.357333,247.391333,242.049333,7.999666,24.992666,18.378
